root@5ef8991ff11c:/scripts# python stream_csv_to_kafka.py --csv_file_path ./csv54304.csv --kafka_topic topic1
2024-06-05 16:42:53,363 - INFO - Reading CSV file: ./csv54304.csv
2024-06-05 16:42:53,368 - INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: connecting to kafka:9092 [('172.19.0.6', 9092) IPv4]
2024-06-05 16:42:53,369 - INFO - Probing node bootstrap-0 broker version
2024-06-05 16:42:53,370 - INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: Connection complete.
2024-06-05 16:42:53,477 - INFO - Broker version identified as 2.5.0
2024-06-05 16:42:53,477 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2024-06-05 16:42:53,487 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY1', 'Description 2': '', 'CAD$': '-65.54', 'USD$': ''}
2024-06-05 16:42:53,494 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/22/2024', 'Cheque Number': '', 'Description 1': 'COMPANY12', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,494 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/22/2024', 'Cheque Number': '', 'Description 1': 'COMPANY13', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,495 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/24/2024', 'Cheque Number': '', 'Description 1': 'COMPANY14', 'Description 2': '', 'CAD$': '-1.73', 'USD$': ''}
2024-06-05 16:42:53,495 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/24/2024', 'Cheque Number': '', 'Description 1': 'COMPANY15', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,495 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/25/2024', 'Cheque Number': '', 'Description 1': 'COMPANY16', 'Description 2': '', 'CAD$': '-8.07', 'USD$': ''}
2024-06-05 16:42:53,496 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/25/2024', 'Cheque Number': '', 'Description 1': 'COMPANY17', 'Description 2': '', 'CAD$': '-124.81', 'USD$': ''}
2024-06-05 16:42:53,496 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/25/2024', 'Cheque Number': '', 'Description 1': 'COMPANY18', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,496 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/26/2024', 'Cheque Number': '', 'Description 1': 'COMPANY19', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,496 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/27/2024', 'Cheque Number': '', 'Description 1': 'COMPANY20', 'Description 2': '', 'CAD$': '-84.75', 'USD$': ''}
2024-06-05 16:42:53,497 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/28/2024', 'Cheque Number': '', 'Description 1': 'COMPANY21', 'Description 2': '', 'CAD$': '-58.08', 'USD$': ''}
2024-06-05 16:42:53,497 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/28/2024', 'Cheque Number': '', 'Description 1': 'COMPANY22', 'Description 2': '', 'CAD$': '111.87', 'USD$': ''}
2024-06-05 16:42:53,497 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/28/2024', 'Cheque Number': '', 'Description 1': 'COMPANY23', 'Description 2': '', 'CAD$': '-51.15', 'USD$': ''}
2024-06-05 16:42:53,497 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/28/2024', 'Cheque Number': '', 'Description 1': 'COMPANY24', 'Description 2': '', 'CAD$': '-12.86', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/29/2024', 'Cheque Number': '', 'Description 1': 'COMPANY25', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/29/2024', 'Cheque Number': '', 'Description 1': 'COMPANY26', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/29/2024', 'Cheque Number': '', 'Description 1': 'COMPANY27', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/1/2024', 'Cheque Number': '', 'Description 1': 'COMPANY28', 'Description 2': '', 'CAD$': '0.68', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/2/2024', 'Cheque Number': '', 'Description 1': 'COMPANY29', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,498 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/2/2024', 'Cheque Number': '', 'Description 1': 'COMPANY30', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,499 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/3/2024', 'Cheque Number': '', 'Description 1': 'COMPANY31', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,499 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/3/2024', 'Cheque Number': '', 'Description 1': 'COMPANY32', 'Description 2': '', 'CAD$': '-2.24', 'USD$': ''}
2024-06-05 16:42:53,499 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/3/2024', 'Cheque Number': '', 'Description 1': 'COMPANY33', 'Description 2': '', 'CAD$': '-7.22', 'USD$': ''}
2024-06-05 16:42:53,500 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/3/2024', 'Cheque Number': '', 'Description 1': 'COMPANY34', 'Description 2': '', 'CAD$': '-11.3', 'USD$': ''}
2024-06-05 16:42:53,500 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/3/2024', 'Cheque Number': '', 'Description 1': 'COMPANY35', 'Description 2': '', 'CAD$': '-59.71', 'USD$': ''}
2024-06-05 16:42:53,500 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/4/2024', 'Cheque Number': '', 'Description 1': 'COMPANY36', 'Description 2': '', 'CAD$': '-8.56', 'USD$': ''}
2024-06-05 16:42:53,500 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/4/2024', 'Cheque Number': '', 'Description 1': 'COMPANY37', 'Description 2': '', 'CAD$': '-88', 'USD$': ''}
2024-06-05 16:42:53,501 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/4/2024', 'Cheque Number': '', 'Description 1': 'COMPANY38', 'Description 2': '', 'CAD$': '-38.08', 'USD$': ''}
2024-06-05 16:42:53,501 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/5/2024', 'Cheque Number': '', 'Description 1': 'COMPANY39', 'Description 2': '', 'CAD$': '-14.59', 'USD$': ''}
2024-06-05 16:42:53,501 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/5/2024', 'Cheque Number': '', 'Description 1': 'COMPANY40', 'Description 2': '', 'CAD$': '-33.89', 'USD$': ''}
2024-06-05 16:42:53,501 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/5/2024', 'Cheque Number': '', 'Description 1': 'COMPANY41', 'Description 2': '', 'CAD$': '9400', 'USD$': ''}
2024-06-05 16:42:53,502 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/6/2024', 'Cheque Number': '', 'Description 1': 'COMPANY42', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,504 - INFO - <BrokerConnection node_id=1 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: connecting to kafka:9092 [('172.19.0.6', 9092) IPv4]
2024-06-05 16:42:53,505 - INFO - <BrokerConnection node_id=1 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: Connection complete.
2024-06-05 16:42:53,505 - INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.19.0.6', 9092)]>: Closing connection. 
2024-06-05 16:42:53,504 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/7/2024', 'Cheque Number': '', 'Description 1': 'COMPANY43', 'Description 2': '', 'CAD$': '-1.31', 'USD$': ''}
2024-06-05 16:42:53,507 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/7/2024', 'Cheque Number': '', 'Description 1': 'COMPANY44', 'Description 2': '', 'CAD$': '-9.99', 'USD$': ''}
2024-06-05 16:42:53,508 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/7/2024', 'Cheque Number': '', 'Description 1': 'COMPANY45', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,509 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/8/2024', 'Cheque Number': '', 'Description 1': 'COMPANY46', 'Description 2': '', 'CAD$': '-19.39', 'USD$': ''}
2024-06-05 16:42:53,510 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/8/2024', 'Cheque Number': '', 'Description 1': 'COMPANY47', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,510 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/10/2024', 'Cheque Number': '', 'Description 1': 'COMPANY48', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,510 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/10/2024', 'Cheque Number': '', 'Description 1': 'COMPANY49', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,510 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/10/2024', 'Cheque Number': '', 'Description 1': 'COMPANY50', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,511 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/12/2024', 'Cheque Number': '', 'Description 1': 'COMPANY51', 'Description 2': '', 'CAD$': '-1.3', 'USD$': ''}
2024-06-05 16:42:53,511 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/12/2024', 'Cheque Number': '', 'Description 1': 'COMPANY52', 'Description 2': '', 'CAD$': '-29.92', 'USD$': ''}
2024-06-05 16:42:53,511 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/12/2024', 'Cheque Number': '', 'Description 1': 'COMPANY53', 'Description 2': '', 'CAD$': '-39.93', 'USD$': ''}
2024-06-05 16:42:53,511 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/12/2024', 'Cheque Number': '', 'Description 1': 'COMPANY54', 'Description 2': '', 'CAD$': '-18.08', 'USD$': ''}
2024-06-05 16:42:53,511 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/13/2024', 'Cheque Number': '', 'Description 1': 'COMPANY55', 'Description 2': '', 'CAD$': '-3.38', 'USD$': ''}
2024-06-05 16:42:53,512 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/13/2024', 'Cheque Number': '', 'Description 1': 'COMPANY56', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,512 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/13/2024', 'Cheque Number': '', 'Description 1': 'COMPANY57', 'Description 2': '', 'CAD$': '-16.76', 'USD$': ''}
2024-06-05 16:42:53,512 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/13/2024', 'Cheque Number': '', 'Description 1': 'COMPANY58', 'Description 2': '', 'CAD$': '-42.92', 'USD$': ''}
2024-06-05 16:42:53,512 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/14/2024', 'Cheque Number': '', 'Description 1': 'COMPANY59', 'Description 2': '', 'CAD$': '-29.38', 'USD$': ''}
2024-06-05 16:42:53,512 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/14/2024', 'Cheque Number': '', 'Description 1': 'COMPANY60', 'Description 2': '', 'CAD$': '-34.91', 'USD$': ''}
2024-06-05 16:42:53,513 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY61', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,513 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY62', 'Description 2': '', 'CAD$': '-10.14', 'USD$': ''}
2024-06-05 16:42:53,513 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/16/2024', 'Cheque Number': '', 'Description 1': 'COMPANY63', 'Description 2': '', 'CAD$': '-54.79', 'USD$': ''}
2024-06-05 16:42:53,513 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '5/16/2024', 'Cheque Number': '', 'Description 1': 'COMPANY64', 'Description 2': '', 'CAD$': '-1.73', 'USD$': ''}
2024-06-05 16:42:53,541 - INFO - Closing the Kafka producer with 9223372036.0 secs timeout.
2024-06-05 16:42:53,542 - INFO - <BrokerConnection node_id=1 host=kafka:9092 <connected> [IPv4 ('172.19.0.6', 9092)]>: Closing connection. 
2024-06-05 16:42:53,543 - INFO - Finished sending messages to Kafka.
root@5ef8991ff11c:/scripts# 
